ppm	val
1.89517	0.428769	
1.89542	0.451404	
1.89566	0.462653	
1.89591	0.468644	
1.89615	0.468256	
1.8964	0.460505	
1.89664	0.456108	
1.89689	0.45171	
1.89713	0.448528	
1.89737	0.450607	
1.89762	0.452915	
1.89786	0.453645	
1.89811	0.45454	
1.89835	0.452279	
1.8986	0.446944	
1.89884	0.438454	
1.89909	0.42523	
1.89933	0.40885	
1.89958	0.389684	
1.89982	0.367362	
1.90007	0.344153	
1.90031	0.324099	
1.90055	0.303963	
1.9008	0.285405	
1.90104	0.271318	
1.90129	0.260387	
1.90153	0.251247	
1.90178	0.243686	
1.90202	0.238392	
1.90227	0.236254	
1.90251	0.236187	
1.90276	0.236121	
1.903	0.239275	
1.90325	0.24769	
1.90349	0.25953	
1.90374	0.274527	
1.90398	0.296492	
1.90422	0.321613	
1.90447	0.350909	
1.90471	0.383361	
1.90496	0.421138	
1.9052	0.466279	
1.90545	0.514427	
1.90569	0.562576	
1.90594	0.612763	
1.90618	0.659794	
1.90643	0.69933	
1.90667	0.73571	
1.90692	0.768638	
1.90716	0.803145	
1.9074	0.842385	
1.90765	0.891092	
1.90789	0.95811	
1.90814	1.0388	
1.90838	1.12048	
1.90863	1.20532	
1.90887	1.28976	
1.90912	1.36263	
1.90936	1.41937	
1.90961	1.45613	
1.90985	1.46974	
1.9101	1.46758	
1.91034	1.45025	
1.91058	1.41713	
1.91083	1.37534	
1.91107	1.32619	
1.91132	1.26892	
1.91156	1.2085	
1.91181	1.14962	
1.91205	1.09232	
1.9123	1.03743	
1.91254	0.987809	
1.91279	0.944431	
1.91303	0.90263	
1.91328	0.86392	
1.91352	0.825209	
1.91377	0.785118	
1.91401	0.745027	
1.91425	0.708519	
1.9145	0.673589	
1.91474	0.643163	
1.91499	0.617996	
1.91523	0.596568	
1.91548	0.582504	
1.91572	0.57633	
1.91597	0.575415	
1.91621	0.581469	
1.91646	0.594887	
1.9167	0.616326	
1.91695	0.645128	
1.91719	0.685305	
1.91743	0.737052	
1.91768	0.799188	
1.91792	0.874999	
1.91817	0.962644	
1.91841	1.05765	
1.91866	1.16357	
1.9189	1.27265	
1.91915	1.37879	
1.91939	1.47967	
1.91964	1.56767	
1.91988	1.63778	
1.92013	1.69816	
1.92037	1.75328	
1.92061	1.80498	
1.92086	1.85142	
1.9211	1.88749	
1.92135	1.9183	
1.92159	1.94557	
1.92184	1.96757	
1.92208	1.99358	
1.92233	2.03327	
1.92257	2.08702	
1.92282	2.15235	
1.92306	2.22221	
1.92331	2.2868	
1.92355	2.34798	
1.92379	2.40179	
1.92404	2.44095	
1.92428	2.46011	
1.92453	2.45942	
1.92477	2.43454	
1.92502	2.38056	
1.92526	2.30029	
1.92551	2.20065	
1.92575	2.08313	
1.926	1.95328	
1.92624	1.82186	
1.92649	1.69691	
1.92673	1.57932	
1.92698	1.46763	
1.92722	1.36961	
1.92746	1.28566	
1.92771	1.20908	
1.92795	1.13939	
1.9282	1.08128	
1.92844	1.03211	
1.92869	0.988203	
1.92893	0.953382	
1.92918	0.928029	
1.92942	0.911486	
1.92967	0.90441	
1.92991	0.91022	
1.93016	0.927602	
1.9304	0.958132	
1.93064	1.00234	
1.93089	1.06541	
1.93113	1.14426	
1.93138	1.23823	
1.93162	1.34798	
1.93187	1.47463	
1.93211	1.61705	
1.93236	1.76704	
1.9326	1.91703	
1.93285	2.05962	
1.93309	2.18853	
1.93334	2.29529	
1.93358	2.37575	
1.93382	2.43388	
1.93407	2.47622	
1.93431	2.49911	
1.93456	2.502	
1.9348	2.49446	
1.93505	2.47746	
1.93529	2.44927	
1.93554	2.41372	
1.93578	2.3729	
1.93603	2.32892	
1.93627	2.28389	
1.93652	2.2357	
1.93676	2.18791	
1.937	2.14537	
1.93725	2.11217	
1.93749	2.08844	
1.93774	2.07461	
1.93798	2.06393	
1.93823	2.04812	
1.93847	2.02074	
1.93872	1.98184	
1.93896	1.93136	
1.93921	1.87142	
1.93945	1.80411	
1.9397	1.725	
1.93994	1.63432	
1.94019	1.54377	
1.94043	1.45638	
1.94067	1.37132	
1.94092	1.29152	
1.94116	1.22224	
1.94141	1.16664	
1.94165	1.12165	
1.9419	1.07982	
1.94214	1.04404	
1.94239	1.01352	
1.94263	0.983992	
1.94288	0.957625	
1.94312	0.94204	
1.94337	0.933819	
1.94361	0.93513	
1.94385	0.950117	
1.9441	0.975361	
1.94434	1.00797	
1.94459	1.05392	
1.94483	1.11355	
1.94508	1.18212	
1.94532	1.26436	
1.94557	1.36268	
1.94581	1.46837	
1.94606	1.58046	
1.9463	1.69413	
1.94655	1.79933	
1.94679	1.89296	
1.94703	1.96571	
1.94728	2.00375	
1.94752	2.00911	
1.94777	1.98187	
1.94801	1.92497	
1.94826	1.84809	
1.9485	1.76029	
1.94875	1.67249	
1.94899	1.59317	
1.94924	1.52543	
1.94948	1.46941	
1.94973	1.41656	
1.94997	1.35516	
1.95022	1.2906	
1.95046	1.2186	
1.9507	1.13713	
1.95095	1.05908	
1.95119	0.990498	
1.95144	0.929344	
1.95168	0.879762	
1.95193	0.841357	
1.95217	0.810315	
1.95242	0.788823	
1.95266	0.774694	
1.95291	0.76543	
1.95315	0.76353	
1.9534	0.766627	
1.95364	0.774984	
1.95388	0.784129	
1.95413	0.788015	
1.95437	0.789266	
1.95462	0.783155	
1.95486	0.767773	
1.95511	0.747131	
1.95535	0.723958	
1.9556	0.700785	
1.95584	0.682478	
1.95609	0.66943	
1.95633	0.659241	
1.95658	0.649053	
1.95682	0.639983	
1.95706	0.638276	
1.95731	0.642487	
1.95755	0.65406	
1.9578	0.676285	
1.95804	0.707977	
1.95829	0.747908	
1.95853	0.795203	
1.95878	0.845226	
1.95902	0.898404	
1.95927	0.952076	
1.95951	1.00417	
1.95976	1.05498	
1.96	1.10053	
1.96024	1.14242	
1.96049	1.17905	
1.96073	1.20594	
1.96098	1.21917	
1.96122	1.21881	
1.96147	1.20478	
1.96171	1.18513	
1.96196	1.16548	
1.9622	1.1414	
1.96245	1.11575	
1.96269	1.08986	
1.96294	1.06082	
1.96318	1.0281	
1.96343	0.995376	
1.96367	0.960879	
1.96391	0.931641	
1.96416	0.914927	
1.9644	0.907682	
1.96465	0.902014	
1.96489	0.89319	
1.96514	0.87595	
1.96538	0.84714	
1.96563	0.806626	
1.96587	0.752438	
1.96612	0.69322	
1.96636	0.639261	
1.96661	0.594376	
1.96685	0.556854	
1.96709	0.525578	
1.96734	0.501665	
1.96758	0.483144	
1.96783	0.469882	
1.96807	0.464017	
1.96832	0.461308	
1.96856	0.462412	
1.96881	0.470879	
1.96905	0.483587	
1.9693	0.499451	
1.96954	0.5211	
1.96979	0.545905	
1.97003	0.571306	
1.97027	0.599863	
1.97052	0.626842	
1.97076	0.646458	
1.97101	0.661241	
1.97125	0.672868	
1.9715	0.681076	
1.97174	0.694545	
1.97199	0.717595	
1.97223	0.750113	
1.97248	0.791573	
1.97272	0.838292	
1.97297	0.88488	
1.97321	0.928311	
1.97345	0.967799	
1.9737	1.00203	
1.97394	1.02964	
1.97419	1.05199	
1.97443	1.07244	
1.97468	1.09289	
1.97492	1.10597	
